ChannelType,Address,EndpointStatus,OptOut,User.UserId,User.UserAttributes.PreferredChannel,User.UserAttributes.CLVTier,User.UserAttributes.MemberClass,User.UserAttributes.Stage,User.UserAttributes.FirstName,User.UserAttributes.LastName,User.UserAttributes.Age,User.UserAttributes.Job,User.UserAttributes.Marital,User.UserAttributes.Education,User.UserAttributes.DefaultScore,User.UserAttributes.Housing,User.UserAttributes.Locan,User.UserAttributes.Probability,User.UserAttributes.Income,User.UserAttributes.Product,User.UserAttributes.PreferredLanguage,User.UserAttributes.CustomerSinceYear,Attributes.LastEngagement,Metrics.ChurnPrediction,Metrics.UpsellPrediction,Metrics.OptimalSendHour,Demographic.Timezone,Demographic.Locale
EMAIL,mlavannis@click2mail.com,ACTIVE,NONE,6.68E+18,EMAIL,Low,Bronze,Usage,Mahesh,Lavannis,52,Software Engineer III,married,7,2,1,0,1,343723.23,L002,English,1974,36,0.6,0.66,10,Europe/Bucharest,Croatian
SMS,7037867357,ACTIVE,NONE,4.15E+18,SMS,Medium,Gold,Upsell,Lee,Garvey,27,Automation Specialist II,divorced,12,10,2,1,0.99,533858.41,L001,French,2001,41,0.72,0.37,9,Europe/Athens,Tetum
SMS,2026573246,ACTIVE,NONE,-8.15E+18,EMAIL,Medium,Silver,Upsell,Robert,Daly,74,Geological Engineer,married,8,10,1,0,0.98,899856.23,CC003,English,2001,62,0.84,0.05,5,Asia/Ho_Chi_Minh,Portuguese
EMAIL,faserrao@gmail.com,ACTIVE,NONE,2.59E+16,SMS,Medium,Silver,Retention,Frank,Serrao,48,VP Sales,widowed,13,1,2,0,0.97,46987.46,L002,French,2021,91,0.56,0.92,11,Europe/Stockholm,Zulu
SMS,7034746047,ACTIVE,NONE,3.41E+18,EMAIL,Medium,Gold,Retention,Kaelyn,Serrao,20,Graphic Designer,widowed,10,0,0,1,0.96,852506.03,L001,French,1988,21,0.42,0.3,14,America/Winnipeg,Polish
EMAIL,healthbymail@gmail.com,INACTIVE,NONE,-6.27E+18,EMAIL,Medium,Gold,Retention,Joe,Health,44,Programmer IV,married,14,6,1,0,0.949998613,478207.62,L002,French,1959,59,0.91,0.33,1,America/Bogota,Chinese
SMS,7034741106,INACTIVE,NONE,3.79E+18,SMS,High,Gold,Usage,Jessica,Welch,67,Recruiting Manager,widowed,3,3,2,0,0.949977088,625659.31,CC003,English,2016,93,0.47,0.61,18,Europe/Paris,Afrikaans
EMAIL,lambda129@yahoo.com,ACTIVE,NONE,-7.60E+18,SMS,Low,Silver,Upsell,Lambda,Python,29,Administrative Assistant III,married,20,3,0,0,0.949973804,955668.75,CC003,English,1932,16,0.1,0.47,10,America/Lima,Danish
SMS,7034748005,ACTIVE,NONE,1.19E+18,SMS,High,Bronze,Usage,Francis,Serao,47,Health Coach II,divorced,10,6,0,1,0.949851383,728491.2,L001,English,1965,72,0.01,0.74,19,Asia/Chongqing,Azeri
SMS,7037858282,ACTIVE,NONE,7.67E+18,EMAIL,Low,Silver,Upsell,Brenda,Williamson,74,Analog Circuit Design manager,single,6,10,1,0,0.949795024,302979.2,L001,English,2020,48,0.92,0.18,3,Asia/Manila,Latvian
EMAIL,stellario2021@gmail.com,ACTIVE,NONE,-8.87E+18,SMS,High,Default_memberClass,Upsell,Stellario,Llc,77,Structural Engineer,widowed,1,1,0,1,0.949793255,888938.77,L002,German,1941,9,0.13,0.65,8,Asia/Chongqing,Amharic
EMAIL,kelly76@example.org,INACTIVE,NONE,4.94E+18,SMS,Medium,Bronze,Usage,Natale,Spencley,57,Tax Accountant,single,7,10,2,1,0.949787945,563300.7,L001,English,2016,20,0.29,0.05,3,Asia/Shanghai,Malagasy
EMAIL,johnlowe@example.com,ACTIVE,NONE,1.25E+18,SMS,High,Bronze,Usage,Beilul,Martinolli,27,Geologist I,widowed,3,0,0,1,0.949728955,614461.81,CC003,English,1965,46,0.84,0.9,18,Asia/Manila,Kyrgyz
SMS,3596604563,INACTIVE,NONE,-6.28E+18,EMAIL,Medium,Gold,Upsell,Marcelia,Tyer,44,VP Accounting,widowed,2,5,0,0,0.949652334,497519.82,L001,English,1954,59,0.81,0.87,15,Asia/Kashgar,Catalan
EMAIL,ureed@example.com,ACTIVE,NONE,-1.88E+18,EMAIL,Medium,Gold,Upsell,Dale,Abdon,76,Pharmacist,married,3,4,0,1,0.949611685,274173.25,CC003,German,1955,98,0.12,0.21,6,Asia/Ho_Chi_Minh,English
EMAIL,ryancortez@example.org,INACTIVE,NONE,-6.01E+18,EMAIL,High,Gold,Usage,Mignonne,Baldinotti,37,Biostatistician I,widowed,17,3,2,0,0.949600453,315681.44,CC003,English,1964,11,0.68,0.75,17,Asia/Tokyo,Swati
SMS,9095143372,ACTIVE,NONE,-4.11E+18,SMS,Low,Default_memberClass,Usage,Merilyn,Swendell,37,Marketing Manager,single,12,10,1,0,0.949594209,162282.87,L002,French,1923,75,0.47,0.9,20,Europe/Sofia,Persian
EMAIL,michaelreed@example.com,ACTIVE,NONE,1.44E+18,SMS,Medium,Default_memberClass,Usage,Jean,Delf,42,Media Manager III,widowed,13,6,1,0,0.949550603,807063.19,L002,German,1964,25,0.53,0.67,15,Europe/Tirane,Kyrgyz
EMAIL,brownchristopher@example.org,ACTIVE,NONE,-6.89E+18,EMAIL,High,Gold,Usage,Jessika,Chattington,27,Help Desk Operator,married,1,0,1,1,0.949502365,37296.82,L001,English,1927,88,0.18,0.12,22,Europe/Warsaw,Kazakh
SMS,4893603090,INACTIVE,NONE,-3.36E+17,SMS,High,Gold,Usage,Linnell,MacGray,42,Occupational Therapist,widowed,18,9,1,0,0.949498879,924642.66,L002,German,1928,84,0.81,0.04,8,Asia/Riyadh,Czech
EMAIL,sarah03xu@example.com,ACTIVE,NONE,8.82E+18,EMAIL,High,Gold,Usage,Tabatha,Peaple,22,Assistant Professor,married,3,7,2,1,0.949402555,845796.92,CC003,English,2003,20,0.98,0.45,8,Asia/Harbin,Malayalam
EMAIL,keith44@example.org,INACTIVE,NONE,-7.52E+18,EMAIL,Medium,Silver,Retention,Tilda,Ralestone,72,Food Chemist,divorced,4,9,0,1,0.949371028,592050.48,L001,French,1980,28,0.41,0.2,20,Europe/Paris,Haitian Creole
